,time,public,user,receiver,DU ID,Grounding Act,Opened CGUs,Closed CGUs,Degree
0.0,0 days 00:00:00,A: ,A,All,,None
1.0,0 days 00:00:01,B: ,B,All,,None
2.0,0 days 00:00:01,GM: ,GM,All,,None
20.0,0 days 00:00:41,B: Hello,B,All,,None
27.0,0 days 00:01:08,A: hello i am on a street I am going to go /n,A,All,[1],['Initiate'],[1],[],[]
28.0,0 days 00:01:43,B: I am currently in a kitchen,B,All,"[1, 2]","['Move', 'Initiate']",[2],[1],['low']
35.0,0 days 00:02:09,A: how do you mpove in this ghame,A,All,"[2, 3]","['Move', 'Initiate']",[3],[2],['low']
45.0,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All,[4],['Initiate'],[4],[],[]
46.0,0 days 00:03:02,B: Slash then dirrection,B,All,"[3, 5]","['Use', 'Initiate']",[5],[3],['medium']
49.0,0 days 00:03:38,A: okay I am im a locker room with altenating red then white lockersw and a long bench in front of them,A,All,"[5, 6]","['Explicit-Ack', 'Initiate']",[6],[5],['medium']
54.0,0 days 00:04:01,B: I found the locker room,B,All,"[6, 7]","['Use', 'Initiate']",[7],[6],['medium']
55.0,0 days 00:04:41,B: finish game now,B,All,[8],['Initiate'],[8],[],[]
56.0,0 days 00:04:44,A: We type done? or make sure we see the same one,A,All,"[7, 8]","['Move', 'Req-Repair']",[],[7],['low']
57.0,0 days 00:04:50,A: done,A,All,[8],['Repair'],[],[],[]
59.0,0 days 00:04:58,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All,[9],['Initiate'],[9],[],[]
61.0,0 days 00:05:02,GM: Well done! Both of you are                            indeed in the same room of type: l/locker_room!,GM,All,[10],['Initiate'],[10],[],[]
62.0,0 days 00:05:02,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All,[11],['Initiate'],[11],[],[]
63.0,0 days 00:05:02,GM: ,GM,All,,None
64.0,0 days 00:05:03,GM: Here's your token: 2138HQ5QF,GM,All,[12],['Initiate'],[12],[],[]
65.0,0 days 00:05:50,A: ,A,All,,None
67.0,0 days 00:06:09,B: ,B,All,,None
69.0,0 days 01:40:48,GM: ,GM,All,,None
